2022-10-07 21:54:42 [    INFO]----start--------start--------start--------start--------start--------start----开始执行登陆操作----start--------start--------start--------start--------start--------start---- (login.py:17)
2022-10-07 21:54:43 [    INFO]成功登录 (login.py:89)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选温区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库位类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选货主----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选入库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可用到货方式----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选商品类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询可选出库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----查询发货可选方式类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:33)
2022-10-07 21:54:43 [    INFO]----start--------start--------start--------start--------start--------start----开始拷贝日志文件----start--------start--------start--------start--------start--------start---- (conftest.py:28)
